MES2,MES1,AC,OPC,NPC1,NPC2
HILPDA,CHI3L1,CST3,BCAN,DLL3,STMN2
ADM,ANXA2,S100B,PLP1,DLL1,CD24
DDIT3,ANXA1,SLC1A3,GPR17,SOX4,RND3
NDRG1,CD44,HEPN1,FIBIN,TUBB3,HMP19
HERPUD1,VIM,HOPX,LHFPL3,HES6,TUBB3
DNAJB9,MT2A,MT3,OLIG1,TAGLN3,MIAT
TRIB3,C1S,SPARCL1,PSAT1,NEU4,DCX
ENO2,NAMPT,MLC1,SCRG1,MARCKSL1,NSG1
AKAP12,EFEMP1,GFAP,OMG,CD24,ELAVL4
SQSTM1,C1R,FABP7,APOD,STMN1,MLLT11
MT1X,SOD2,BCAN,SIRT2,TCF12,DLX6-AS1
ATF3,IFITM3,PON2,TNR,BEX1,SOX11
NAMPT,TIMP1,METTL7B,THY1,OLIG1,NREP
NRN1,SPP1,SPARC,PHYHIPL,MAP2,FNBP1L
SLC2A1,A2M,GATM,SOX2-OT,FXYD6,TAGLN3
BNIP3,S100A11,RAMP1,NKAIN4,PTPRS,STMN4
LGALS3,MT1X,PMP2,LPPR1,MLLT11,DLX5
INSIG2,S100A10,AQP4,PTPRZ1,NPPA,SOX4
IGFBP3,FN1,DBI,VCAN,BCAN,MAP1B
PPP1R15A,LGALS1,EDNRB,DBI,MEST,RBFOX2
VIM,S100A16,PTPRZ1,PMP2,ASCL1,IGFBPL1
PLOD2,CLIC1,CLU,CNP,BTG2,STMN1
GBE1,MGST1,PMP22,TNS3,DCX,HN1
SLC2A3,RCAN1,ATP1A2,LIMA1,NXPH1,TMEM161B-AS1
FTL,TAGLN2,S100A16,CA10,HN1,DPYSL3
WARS,NPC2,HEY1,PCDHGC3,PFN2,SEPT3
ERO1L,SERPING1,PCDHGC3,CNTN1,SCG3,PKIA
XPOT,C8orf4,TTYH1,SCD5,MYT1,ATP1B1
HSPA5,EMP1,NDRG2,P2RX7,CHD7,DYNC1I1
GDF15,APOE,PRCP,CADM2,GPR56,CD200
ANXA2,CTSB,ATP1B2,TTYH1,TUBA1A,SNAP25
EPAS1,C3,AGT,FGF12,PCBP4,PAK3
LDHA,LGALS3,PLTP,TMEM206,ETV1,NDRG4
P4HA1,MT1E,GPM6B,NEU4,SHD,KIF5A
SERTAD1,EMP3,F3,FXYD6,TNR,UCHL1
PFKP,SERPINA3,RAB31,RNF13,AMOTL2,ENO2
PGK1,ACTN1,PPAP2B,RTKN,DBN1,KIF5C
EGLN3,PRDX6,ANXA5,GPM6B,HIP1,DDAH2
SLC6A6,IGFBP7,TSPAN7,LMF1,ABAT,TUBB2A
CA9,SERPINE1,,ALCAM,ELAVL4,LBH
BNIP3L,PLP2,,PGRMC1,LMF1,LOC150568
RPL21,MGP,,HRASLS,GRIK2,TCF4
TRAM1,CLIC4,,BCAS1,SERINC5,GNG3
UFM1,GFPT2,,RAB31,TSPAN13,NFIB
ASNS,GSN,,PLLP,ELMO1,DPYSL5
GOLT1B,NNMT,,FABP5,GLCCI1,CRABP1
ANGPTL4,TUBA1C,,NLGN3,SEZ6L,DBN1
SLC39A14,GJA1,,SERINC5,LRRN1,NFIX
CDKN1A,TNFRSF1A,,EPB41L2,SEZ6,CEP170
HSPA9,WWTR1,,GPR37L1,SOX11,BLCAP
